sport,unfavored,spread,favored,under,over,commence_time,api_id
NBA,Cleveland Cavaliers,-4,Boston Celtics,217,221,2023-03-06 19:10:00,920471a056418dc3d9ebf59d9933a9d5
NBA,Portland Trail Blazers,-6,Detroit Pistons,228,232,2023-03-06 19:10:00,11fae8e8823f872605eb0b1ec636b4f4
NBA,Philadelphia 76ers,-5,Indiana Pacers,232,236,2023-03-06 19:10:00,ceeee4b5a91a9ba17ab32e23b5ca7435
NBA,Miami Heat,-3,Atlanta Hawks,226,230,2023-03-06 19:40:00,2debfbf5c25f8411599d1f46c343c7e6
NBA,Denver Nuggets,-7,Toronto Raptors,227,231,2023-03-06 21:10:00,09455248f49045db2ede332753f28c02
NBA,Sacramento Kings,-6,New Orleans Pelicans,237,241,2023-03-06 22:10:00,8089125aa8c569b05042b3ce6d28d249
NCAAB,Hofstra Pride,-6,UNC Wilmington Seahawks,132,136,2023-03-06 18:00:00,a4451f4863d186c8545d758363477050
NCAAB,Nicholls St Colonels,-6,McNeese Cowboys,144,148,2023-03-06 18:00:00,12b0a8635868f348b6b4f0de91a566b3
NCAAB,Furman Paladins,-7,Chattanooga Mocs,152,156,2023-03-06 19:00:00,31165ba355daa2fc77d44319f398db66
NCAAB,South Alabama Jaguars,P2,Louisiana Ragin' Cajuns,142,146,2023-03-06 19:00:00,ef7112e65b07cdea5148946b7a5b8640
NCAAB,Youngstown St Penguins,-3,Northern Kentucky Norse,136,140,2023-03-06 19:00:00,e7ddeaa45fd263b475b7d6ffc5cad65b
NCAAB,Oral Roberts Golden Eagles,-11,St. Thomas (MN) Tommies,156,160,2023-03-06 19:00:00,5e9d495265ba578fa9c378db62d102a4
NCAAB,Montana Grizzlies,-6,Idaho State Bengals,130,134,2023-03-06 19:30:00,d3aab9eb7fcab2f03b11325443003b64
NCAAB,Charleston Cougars,-6,Towson Tigers,147,151,2023-03-06 20:30:00,9946463be09c574af39f73a89ec168c0
NCAAB,SE Louisiana Lions,-4,New Orleans Privateers,155,159,2023-03-06 20:30:00,aad9af11c64e7f10e8d9e842d2c4d42e
NCAAB,Saint Mary's Gaels,-6,BYU Cougars,128,132,2023-03-06 21:00:00,8efb2180c7a86fdbfcdbffb140e628d3
NCAAB,Cleveland St Vikings,-3,Milwaukee Panthers,146,150,2023-03-06 21:30:00,3f68ee7d2ac48f41735ea5b49cd0455e
NCAAB,South Dakota St Jackrabbits,-2,North Dakota St Bison,141,145,2023-03-06 21:30:00,843e55ca6fe38df270f78c43cb51ae11
NCAAB,Weber State Wildcats,-2,Sacramento St Hornets,125,129,2023-03-06 22:00:00,7bc8975b3453f1dbbf0753654219aab7
NCAAB,Gonzaga Bulldogs,-15,San Francisco Dons,158,162,2023-03-06 23:30:00,56660fe4822274c6d4afedb882e4cfe8
