gametype,first_team,spread,second_team,under,over,datetime
NCAAF,CCU,20,TROY,,,10/28/21 19:30
NCAAF,ECU,8,USF,,,10/28/21 19:30
NCAAF,TLSA,10,NAVY,,,10/29/21 19:30
NCAAF,NEV,21,UNLV,,,10/29/21 22:30
NCAAF,CIN,24,TULN,,,10/30/21 12:00
NCAAF,MICH,4,MSU,,,10/30/21 12:00
NCAAF,WISC,3,IOWA,,,10/30/21 12:00
NCAAF,BAY,3,TEX,,,10/30/21 12:00
NCAAF,PITT,13,MIA-FL,,,10/30/21 12:00
NCAAF,ILL,P3,RUTG,,,10/30/21 12:00
NCAAF,GT,3,VT,,,10/30/21 12:00
NCAAF,MD,3,IND,,,10/30/21 12:00
NCAAF,LIB,38,UMASS,,,10/30/21 12:00
NCAAF,UCF,10,TEMP,,,10/30/21 12:00
NCAAF,BUFF,13,BGSU,,,10/30/21 12:00
NCAAF,ULL,20,TXST,,,10/30/21 12:00
NCAAF,RICE,3,UNT,,,10/30/21 14:00
NCAAF,ISU,7,UWV,,,10/30/21 14:00
NCAAF,ASU,14,WSU,,,10/30/21 15:00
NCAAF,MIZ,17,VAN,,,10/30/21 15:00
NCAAF,USU,7,HAW,,,10/30/21 15:00
NCAAF,UGA,14,FLA,,,10/30/21 15:30
NCAAF,OKLA,18,TTU,,,10/30/21 15:30
NCAAF,ORE,24,COLO,,,10/30/21 15:30
NCAAF,NEB,7,PUR,,,10/30/21 15:30
NCAAF,MINN,7,NW,,,10/30/21 15:30
NCAAF,MRSH,21,FIU,,,10/30/21 15:30
NCAAF,LAT,7,ODU,,,10/30/21 15:30
NCAAF,MTN,14,USM,,,10/30/21 15:30
NCAAF,CLEM,10,FSU,,,10/30/21 15:30
NCAAF,SYR,4,BC,,,10/30/21 15:30
NCAAF,KSU,3,TCU,,,10/30/21 15:30
NCAAF,APP,28,ULM,,,10/30/21 15:30
NCAAF,WAKE,17,DUKE,,,10/30/21 16:00
NCAAF,SJSU,3,WYO,,,10/30/21 16:00
NCAAF,WKU,18,CHAR,,,10/30/21 16:00
NCAAF,USA,10,ARKST,,,10/30/21 17:00
NCAAF,FAU,13,UTEP,,,10/30/21 18:00
NCAAF,GAST,5,GASO,,,10/30/21 18:00
NCAAF,OKST,31,KAN,,,10/30/21 19:00
NCAAF,AUB,2,oMISS,,,10/30/21 19:00
NCAAF,KTY,1,MSST,,,10/30/21 19:00
NCAAF,SMU,P3,HOU,,,10/30/21 19:00
NCAAF,ORST,P3,CAL,,,10/30/21 19:00
NCAAF,USC,21,ARIZ,,,10/30/21 19:00
NCAAF,BSU,3,CSU,,,10/30/21 19:00
NCAAF,OSU,17,PSU,,,10/30/21 19:30
NCAAF,ND,4,UNC,,,10/30/21 19:30
NCAAF,NCST,7,LOU,,,10/30/21 19:30
NCAAF,UCLA,4,UTAH,,,10/30/21 22:00
NCAAF,BYU,3,UVA,,,10/30/21 22:15
NCAAF,SDSU,2,FRES,,,10/30/21 22:30
NCAAF,STAN,3,WASH,,,10/30/21 22:30
NFL,ARI,3,GB,51,55,10/28/21 20:20
NFL,ATL,3,CAR,45,49,10/30/21 13:00
NFL,BUF,13,MIA,47,51,10/30/21 13:00
NFL,SF,4,CHI,40,44,10/30/21 13:00
NFL,CLE,3,PIT,42,46,10/30/21 13:00
NFL,PHI,4,DET,46,50,10/30/21 13:00
NFL,IND,P3,TEN,48,52,10/30/21 13:00
NFL,CIN,9,NYJ,41,45,10/30/21 13:00
NFL,LAR,14,HOU,44,48,10/30/21 13:00
NFL,LAC,7,NE,46,50,10/30/21 16:05
NFL,SEA,4,JAX,42,46,10/30/21 16:05
NFL,DEN,3,WAS,43,47,10/30/21 16:25
NFL,TB,4,NO,48,52,10/30/21 16:25
NFL,DAL,P3,MIN,52,56,10/30/21 20:20
NFL,KC,13,NYG,50,54,10/31/21 20:15
NBA,PHI,3,NYK,215,219,10/26/21 19:30
NBA,GS,9,OKC,222,226,10/26/21 20:00
NBA,DAL,11,HOU,219,223,10/26/21 20:30
NBA,LAK,4,SA,218,222,10/26/21 20:30
NBA,UTA,7,DEN,217,221,10/26/21 22:00
NBA,CHA,TBD,ORL,TBD,TBD,10/27/21 19:00
NBA,BOS,TBD,WAS,TBD,TBD,10/27/21 19:30
NBA,BRK,TBD,MIA,TBD,TBD,10/27/21 19:30
NBA,IND,TBD,TOR,TBD,TBD,10/27/21 19:30
NBA,ATL,TBD,NO,TBD,TBD,10/27/21 19:30
NBA,MIL,TBD,MIN,TBD,TBD,10/27/21 20:00
NBA,LAK,TBD,OKC,TBD,TBD,10/27/21 20:00
NBA,PHX,TBD,SAC,TBD,TBD,10/27/21 22:00
NBA,POR,TBD,MEM,TBD,TBD,10/27/21 22:00
NBA,LAC,TBD,CLE,TBD,TBD,10/27/21 22:30
